Model,Accuracy,Precision,Recall,F1
Logistic Regression,73.87878787878788,70.06651884700665,79.69735182849938,74.57227138643069
Bernoulli Naive Bayes,72.12121212121212,68.0,79.31904161412359,73.22467986030269
Multinomial Naive Bayes,72.48484848484848,68.2062298603652,80.07566204287517,73.66589327146173
Gaussian Naive Bayes,74.48484848484848,70.08639308855291,81.84110970996217,75.50901687027341
Decision Tree,77.0909090909091,75.27405602923264,77.93190416141236,76.57992565055763
Random Forest,81.21212121212122,78.57988165680473,83.7326607818411,81.07448107448107
